,City,latitude,Temperature,Humidity,Cloudiness,Wind Speed
0,santa cruz del norte,23.15,73.4,94.0,5.0,3.36
1,saleaula,,,,,
2,rikitea,-23.12,73.92,100.0,24.0,12.8
3,lavrentiya,65.58,45.21,91.0,92.0,4.63
4,avarua,-21.21,75.2,78.0,75.0,11.41
5,altay,47.83,69.15,47.0,0.0,1.95
6,qasigiannguit,68.82,39.2,86.0,75.0,3.18
7,alice springs,-23.7,80.6,11.0,0.0,16.11
8,konnur,15.86,72.75,96.0,92.0,14.25
9,puerto ayora,-0.74,70.95,100.0,20.0,13.02
10,provideniya,64.42,53.6,81.0,90.0,6.71
11,punta arenas,-53.16,37.4,95.0,75.0,10.29
12,hobart,-42.88,51.8,57.0,75.0,14.99
13,kenai,60.55,59.95,82.0,1.0,12.75
14,cape town,-33.93,55.4,76.0,0.0,10.29
15,chuy,-33.69,47.55,98.0,76.0,7.31
16,mataura,-46.19,43.95,94.0,80.0,11.45
17,dikson,73.51,38.64,100.0,20.0,11.01
18,marystown,47.17,58.35,92.0,92.0,9.33
19,buchanan,5.88,73.4,94.0,40.0,3.96
20,bluff,-23.58,73.47,26.0,0.0,5.97
21,ushuaia,-54.81,41.0,60.0,20.0,19.46
22,lata,30.78,63.39,100.0,80.0,1.39
23,paita,-5.09,67.62,82.0,76.0,8.1
24,sosnovo-ozerskoye,52.53,62.49,90.0,0.0,4.63
25,severomuysk,56.17,53.67,61.0,0.0,2.62
26,torrington,42.06,72.63,60.0,1.0,6.93
27,hermanus,-34.42,69.15,32.0,0.0,8.99
28,atuona,-9.8,77.43,100.0,88.0,15.82
29,busselton,-33.64,62.94,100.0,92.0,25.32
30,barentsburg,,,,,
31,constitucion,23.99,71.6,53.0,40.0,5.82
32,mahebourg,-20.41,69.8,60.0,20.0,8.05
33,brovary,50.51,66.2,100.0,75.0,2.24
34,myanaung,18.28,80.31,98.0,76.0,7.43
35,port hardy,50.7,59.0,82.0,20.0,13.87
36,riyadh,24.63,82.4,16.0,0.0,2.24
37,fortuna,38.18,72.5,88.0,0.0,2.24
38,kapaa,22.08,84.51,78.0,75.0,14.99
39,selenginsk,52.01,69.8,49.0,0.0,4.47
40,kichmengskiy gorodok,59.99,61.41,64.0,0.0,5.41
41,goure,13.98,79.77,63.0,0.0,6.76
42,tumannyy,,,,,
43,yellowknife,62.45,64.4,45.0,75.0,9.17
44,new norfolk,-42.78,51.8,57.0,75.0,14.99
45,garowe,8.41,75.54,57.0,0.0,17.94
46,sinkat,,,,,
47,ilhabela,-23.78,69.78,100.0,64.0,8.43
48,sterling,39.0,71.49,100.0,90.0,3.62
49,bengkulu,,,,,
50,kurchanskaya,45.22,68.0,94.0,40.0,4.47
51,khatanga,71.98,42.87,73.0,64.0,12.8
52,clifton,-27.93,68.0,32.0,0.0,6.93
53,victoria,5.28,90.54,74.0,75.0,4.7
54,charters towers,-20.07,72.84,78.0,0.0,7.54
55,puerto pinasco,,,,,
56,vaini,15.34,71.04,98.0,92.0,8.21
57,esperance,10.24,78.8,83.0,20.0,6.93
58,sitka,37.17,90.12,36.0,56.0,14.58
59,clyde river,70.47,46.4,75.0,90.0,16.11
60,linxia,35.6,54.57,100.0,92.0,3.62
61,sorland,67.67,56.19,94.0,92.0,26.55
62,qui nhon,,,,,
63,deputatskiy,69.3,54.21,77.0,92.0,4.18
64,cabo san lucas,22.89,88.18,42.0,5.0,19.46
65,lipin bor,60.26,65.82,93.0,20.0,11.79
66,hilo,19.71,75.15,74.0,40.0,6.93
67,subaytilah,,,,,
68,butaritari,3.07,82.74,100.0,36.0,4.97
69,bolshaya martynovka,47.27,69.96,82.0,20.0,7.31
70,taolanaro,,,,,
71,komsomolskiy,67.55,75.36,42.0,20.0,5.97
72,nanyang,33.0,92.37,68.0,8.0,7.87
73,tasiilaq,65.61,46.4,70.0,8.0,4.7
74,albany,42.65,73.85,83.0,90.0,4.7
75,qaanaaq,77.48,33.42,100.0,88.0,2.62
76,taoudenni,22.68,75.45,21.0,0.0,2.84
77,novyye burasy,52.13,62.6,77.0,0.0,13.42
78,tiksi,71.64,54.48,72.0,88.0,5.75
79,vao,59.1,61.95,93.0,0.0,3.4
80,waingapu,-9.65,81.75,70.0,0.0,11.79
81,hasaki,35.73,93.09,47.0,75.0,6.93
82,grindavik,63.84,47.35,100.0,75.0,4.7
83,evensk,61.92,61.14,77.0,0.0,3.06
84,talnakh,69.49,49.17,67.0,0.0,19.06
85,mys shmidta,,,,,
86,shimoda,34.7,89.6,66.0,75.0,5.82
87,port alfred,-33.59,69.6,56.0,0.0,12.8
88,cherskiy,68.75,62.13,41.0,44.0,7.2
89,illoqqortoormiut,,,,,
90,jadu,31.95,74.46,27.0,0.0,5.64
91,mar del plata,-46.43,36.12,90.0,12.0,12.8
92,tabialan,,,,,
93,rawson,-43.3,26.31,68.0,0.0,7.31
94,bambous virieux,-20.34,69.8,60.0,20.0,8.05
95,safaga,,,,,
96,buala,-8.15,83.82,83.0,80.0,8.32
97,bredasdorp,-34.53,46.4,81.0,0.0,7.2
98,luderitz,-26.65,58.08,61.0,36.0,4.85
99,avera,33.19,76.64,78.0,1.0,4.85
100,maceio,-9.67,69.8,94.0,75.0,4.7
101,awjilah,29.14,72.3,43.0,0.0,5.41
102,sakakah,,,,,
103,upernavik,72.79,37.74,98.0,88.0,6.2
104,shadrinsk,56.09,59.52,69.0,0.0,10.11
105,bethel,60.79,60.8,87.0,90.0,6.93
106,castro,-42.48,43.59,100.0,92.0,4.74
107,ponta do sol,-20.63,58.89,62.0,32.0,5.75
108,bilma,18.69,81.21,19.0,12.0,3.74
109,westerland,52.89,59.72,100.0,0.0,1.12
110,aksay,47.27,71.67,86.0,12.0,5.41
111,muros,42.77,60.8,100.0,0.0,5.82
112,sao felix do xingu,-6.64,77.88,55.0,0.0,4.07
113,somanda,-3.37,58.89,78.0,0.0,11.79
114,soyo,-6.13,70.23,90.0,92.0,5.41
115,poum,41.28,60.8,82.0,0.0,5.82
116,madang,-5.21,83.91,73.0,8.0,3.29
117,kodiak,39.95,71.6,78.0,1.0,8.05
118,narsaq,60.91,46.4,70.0,0.0,4.7
